serum,potency
DENV4/THAILAND/2009/00781/09,0.22189891620130428
DENV4/THAILAND/1997/00049/97,0.22058233870029234
DENV4/THAILAND/2002/03113/02,0.21834806364943563
DENV1/THAILAND/1995/00257/95,0.21067965725890098
DENV4/THAILAND/2004/00624/04,0.1923902911486132
DENV1/THAILAND/2004/00479/04,0.18666324672806875
DENV2/THAILAND/1998/00441/98,0.1821390591888876
DENV1/THAILAND/1995/00229/95,0.18066005544320865
DENV1/THAILAND/2000/01349/00,0.17288635424204762
DENV4/THAILAND/2013/00300/13,0.1673383738812879
DENV4/THAILAND/2007/01391/07,0.15928795279086594
DENV4/THAILAND/1995/00458/95,0.15851899841959238
DENV4/THAILAND/2004/00217/04,0.14815068501815226
DENV1/THAILAND/2006/00007/06,0.1435786338680292
DENV3/THAILAND/2002/00059/02,0.1426830970249181
DENV2/THAILAND/2007/00408/07,0.139132100355331
DENV4/THAILAND/2006/00533/06,0.13875316530231904
DENV2/THAILAND/1998/01718/98,0.136106591477237
DENV3/THAILAND/2011/00209/11,0.13127581752666745
DENV4/THAILAND/2004/01315/04,0.1297877090113848
DENV1/THAILAND/2001/02633/01,0.12872850295860103
DENV2/THAILAND/2004/01462/04,0.12472583220297406
DENV4/THAILAND/2000/05997/00,0.12409784615630699
DENV4/THAILAND/1998/06564/98,0.10134131307135708
DENV3/THAILAND/2006/02678/06,0.09392758285398317
DENV4/THAILAND/2001/06949/01,0.09326926968641396
DENV1/THAILAND/2000/05899/00,0.08181871275869919
DENV3/THAILAND/1998/02551/98,0.07940908781617012
DENV1/THAILAND/2001/00355/01,0.06853718021618833
DENV4/THAILAND/1997/02739/97,0.057023284305005244
DENV1/THAILAND/1997/00382/97,0.046957635650539675
DENV2/THAILAND/2006/00586/06,0.034690188613421276
DENV4/THAILAND/2001/06019/01,0.031803689870292
DENV3/THAILAND/2004/00441/04,0.022695749850495894
DENV4/THAILAND/2001/00103/01,0.0191686733131743
DENV2/THAILAND/2011/00556/11,0.018895164083469182
DENV1/THAILAND/1997/04772/97,0
DENV1/THAILAND/1998/02128/98,0
DENV1/THAILAND/1998/06870/98,0
DENV1/THAILAND/2002/00644/02,0
DENV1/THAILAND/2002/00731/02,0
DENV1/THAILAND/2004/00068/04,0
DENV1/THAILAND/2006/01038/06,0
DENV1/THAILAND/2013/00090/13,0
DENV2/THAILAND/1996/01175/96,0
DENV2/THAILAND/1997/05107/97,0
DENV2/THAILAND/2000/01695/00,0
DENV2/THAILAND/2001/02860/01,0
DENV2/THAILAND/2001/06096/01,0
DENV2/THAILAND/2003/01082/03,0
DENV2/THAILAND/2004/00248/04,0
DENV2/THAILAND/2004/01224/04,0
DENV2/THAILAND/2004/01646/04,0
DENV2/THAILAND/2007/00496/07,0
DENV2/THAILAND/2007/02039/07,0
DENV2/THAILAND/2012/00144/12,0
DENV3/THAILAND/1998/00317/98,0
DENV3/THAILAND/1998/04946/98,0
DENV3/THAILAND/2000/06135/00,0
DENV3/THAILAND/2001/00929/01,0
DENV3/THAILAND/2003/02208/03,0
DENV3/THAILAND/2004/00602/04,0
DENV3/THAILAND/2006/01373/06,0
DENV3/THAILAND/2014/00146/14,0
DENV3/THAILAND/2014/00560/14,0
DENV4/THAILAND/1995/00241/95,0
DENV4/THAILAND/1998/04786/98,0
DENV4/THAILAND/1998/06523/98,0
DENV4/THAILAND/2000/05496/00,0
DENV4/THAILAND/2002/03169/02,0
DENV4/THAILAND/2006/00047/06,0
